Sivert;6;7;0;5;20;150
Sjur;19;25;25;21;13;22
Skjalg;0;5;11;6;0;0
Slawomir;0;10;44;36;12;0
Snorre;11;16;28;11;19;46
Solomon;0;0;7;7;4;0
Sondre;0;0;6;30;204;344
Stanislaw;7;27;23;9;0;0
Stefan;0;17;32;50;77;29
Steffan;0;0;0;8;9;0
Steffen;0;8;27;48;166;90
Stein;201;327;227;85;39;18
Steinar;363;246;259;85;57;23
Sten;35;37;77;14;7;0
Stephan;0;0;12;13;15;4
Stephen;7;11;10;11;21;5
Steve;0;0;9;7;7;0
Steven;0;9;11;13;20;8
Stian;0;8;46;525;604;249
Stig;55;235;434;180;76;23
Storm;0;0;0;0;0;8
Sture;10;10;11;0;0;0
Sturla;12;14;14;17;6;7
Ståle;48;75;156;62;33;6
Svein;910;614;509;178;68;32
Svein-Erik;6;6;7;0;4;0
Sveinung;23;43;31;35;20;10
Sven;87;102;90;69;44;19
Svend;24;23;14;5;7;5
Svenn;26;24;40;11;7;0
Sverre;178;110;70;56;45;51
Syed;0;4;0;13;16;0
Sylwester;0;4;0;18;5;0
Syver;0;0;0;0;7;14
Sølve;0;0;8;7;5;8
Szymon;0;0;0;8;13;9
Søren;7;6;7;4;7;0
Tadas;0;0;0;7;21;0
Tadeusz;6;17;10;7;0;0
Tage;0;6;9;0;8;14
Tarald;0;0;0;0;0;13
Tarjei;5;6;12;20;35;15
Ted;0;0;9;0;4;0
Tellef;6;0;4;0;0;4
Teo;0;0;0;0;0;5
Teodor;0;0;0;4;6;31
Terje;604;647;554;186;60;10
Thanh;0;6;7;6;6;0
Theo;0;0;0;0;4;13
Theodor;0;0;0;4;13;51
Thomas;28;50;378;698;782;400
Thor;177;167;129;86;61;26
Thorbjørn;36;25;24;16;9;5
Thore;49;30;25;10;7;0
Thorleif;30;16;6;4;5;0
Thorstein;10;7;7;5;6;0
Thorvald;11;4;0;0;0;6
Tim;0;0;22;21;32;28
Timian;0;0;0;0;0;0
Timothy;0;0;0;7;10;0
Tobias;0;0;0;19;95;417
Tom;256;536;387;257;144;43
Tom-Erik;0;6;4;13;7;0
Tomas;6;8;25;107;93;37
Tomasz;0;4;69;167;52;8
Tommy;22;118;300;257;201;55
Toni;0;0;0;0;0;4
Tonny;0;9;15;6;0;0
Tony;0;19;32;37;52;23
Tor;512;503;399;301;184;97
Tor-Arne;0;0;11;4;6;0
Tor-Erik;0;0;0;13;7;0
Toralf;12;9;4;5;0;0
Torben;0;0;6;8;8;5
Torbjørn;169;118;130;107;88;41
Tord;5;8;31;20;36;46
Tore;389;374;353;163;87;29
Torfinn;36;31;19;12;6;4
Torgeir;56;63;72;51;43;11
Torger;15;12;7;4;0;0
Torgrim;0;13;21;8;0;8
Torje;0;0;0;8;13;15
Torjus;0;0;0;4;16;41
Torkel;0;9;13;11;8;8
Torkil;0;0;4;6;16;4
Torkild;5;4;6;5;0;0
Torleif;51;18;14;9;4;0
Torleiv;8;6;5;4;0;0
Tormod;70;64;37;35;23;16
Torodd;9;0;6;0;0;0
Torstein;69;57;51;48;81;46
Torvald;5;0;0;0;0;0
